pid,comm,rss_kb,pss_kb,swap_kb,anon_kb,file_kb,shared_clean_kb,shared_dirty_kb
717,dbus-broker-lau,1328,369,196,164,0,1164,0
719,dbus-broker,1936,761,276,692,0,1244,0
721,pipewire,15960,13485,17544,12252,0,2936,276
722,wireplumber,10136,7071,11640,6036,0,3300,0
723,bash,12,4,1580,4,0,8,0
724,pipewire-pulse,50036,46558,26688,45064,0,4064,400
788,xdg-permission-,3080,388,228,256,0,2780,0
811,startx,12,4,348,4,0,8,0
831,xinit,12,4,220,4,0,8,0
832,Xorg,75408,71248,79916,68836,0,4244,716
849,i3,41140,32829,10428,5272,0,9360,0
855,nm-applet,13436,6967,12412,5768,0,7512,4
857,dunst,7240,3693,10056,3488,0,3648,36
858,terminator,34256,23083,26684,20136,0,13108,8
859,chromium,202496,152635,125656,125036,0,60540,1128
860,pavucontrol,49460,37817,26396,33716,0,14528,4
861,thunar,23148,10932,12868,8448,0,14168,368
863,chrome,215768,143342,140348,114256,0,84404,2796
864,brave,159696,106148,80624,73516,0,69704,512
865,lxtask,23528,10964,9048,8000,0,15084,76
866,corectrl,58292,53979,21640,50284,0,5072,4
867,gnome-system-mo,147048,97758,63784,84504,0,60296,12
869,Discord,80664,52603,75312,33432,0,41796,200
890,cat,12,4,104,4,0,8,0
891,cat,180,44,80,28,0,136,0
905,gvfsd,196,188,1572,188,0,8,0
922,gvfsd-fuse,1596,340,520,220,0,1352,0
983,chrome_crashpad,16,8,364,8,0,8,0
1003,chrome_crashpad,12,4,332,4,0,8,0
1041,xdg-desktop-por,6420,2468,1972,1656,0,4212,4
1074,chromium,644,322,15844,636,0,8,628
1076,chromium,3796,304,12604,3788,0,8,3784
1084,xdg-document-po,3776,612,344,416,0,3332,0
1085,Discord,716,354,8384,708,0,8,708
1086,Discord,12,2,8992,4,0,8,4
1105,at-spi-bus-laun,3260,396,496,268,0,2968,4
1106,xdg-desktop-por,13044,8822,6224,8348,0,4472,4
1114,dbus-broker-lau,16,8,280,8,0,8,0
1115,dbus-broker,1040,155,156,88,0,952,0
1116,chrome_crashpad,492,102,268,100,0,392,0
1121,at-spi2-registr,1996,266,532,192,0,1784,0
1144,Discord,8,2,9016,4,0,4,4
1154,chrome_crashpad,12,4,328,4,0,8,0
1165,chromium,7612,719,12632,3864,0,3748,3788
1211,chrome,4244,703,15344,740,0,3504,564
1212,gvfs-udisks2-vo,4992,1352,1560,848,0,3960,4
1216,chrome,3136,235,12864,3128,0,8,3124
1235,chrome_crashpad,476,86,288,84,0,392,0
1258,gvfsd-metadata,3644,717,276,500,0,3116,0
1260,chrome_crashpad,12,4,328,4,0,8,0
1306,chrome,6608,673,12700,3392,0,3216,3208
1423,brave,812,406,14312,804,0,8,796
1424,brave,3136,458,11896,3128,0,8,3124
1464,gvfs-mtp-volume,3232,457,356,364,0,2868,0
1478,brave,6092,1008,11856,3268,0,2808,3124
1490,gvfsd-trash,308,300,1728,300,0,8,0
1504,dconf-service,3564,499,204,352,0,3180,0
2580,bash,12,4,1556,4,0,8,0
2699,code,62672,37576,73756,26652,0,30920,196
3378,code,412,202,8760,404,0,8,404
3402,code,1036,257,8044,1028,0,8,1028
3841,code,1032,257,8156,1028,0,4,1028
4092,chromium,120764,56346,103724,42316,0,75060,1404
4418,chromium,64532,42576,20084,33836,0,25416,616
5047,chrome,116516,43727,102996,30356,0,81664,1828
5179,chrome,71116,26019,18284,17508,0,50040,956
5183,chrome_crashpad,560,110,248,104,0,456,0
5277,brave,115908,46200,99016,29784,0,83600,1560
5303,brave,49520,20371,15992,11276,0,35904,164
5320,gnome-keyring-d,12,4,812,4,0,8,0
5330,chromium,23112,5258,15676,6884,0,15856,3968
5456,gnome-keyring-d,3072,472,836,372,0,2684,0
5532,chrome,26720,4043,15736,5176,0,21296,3332
5814,chrome_crashpad,604,94,240,84,0,520,0
5910,code,39100,25907,59924,22680,0,15704,528
5928,code,19012,8353,10044,2540,0,12696,72
6082,chromium,50508,17267,37556,17172,0,33192,3820
6264,Discord,91644,47534,87768,29052,0,49812,7668
6282,chrome,43756,9563,42556,9712,0,31844,5296
6427,Discord,21456,11688,9488,5980,0,13100,264
6819,code,123684,105080,89344,102276,0,21320,1760
6826,code,185708,158349,45476,138404,0,34360,1836
7628,chrome,162392,79292,83092,68556,0,90776,6020
7679,chromium,291804,225933,61240,219856,0,70896,4056
7697,chromium,163512,95480,27776,89764,0,73364,4028
7936,chromium,218400,136938,105088,123660,0,92140,4276
8101,code,30032,13886,34972,11276,0,18444,52
8102,code,23008,10119,33652,7764,0,15076,4
8103,code,45316,27722,194604,24304,0,20312,20
8151,code,41332,24176,118676,21480,0,19704,20
8205,code,26480,10968,33344,8056,0,18300,12
8349,Discord,506848,477163,154196,427536,0,38692,8828
8527,brave,20608,4752,13432,4744,0,15664,3192
8613,brave,36020,11617,31044,8596,0,27312,3144
8622,chromium,57000,15590,29512,14644,0,42312,3792
9107,pet,28,24,1244,24,0,4,0
9246,brave,713232,646241,54292,600672,0,88780,4400
9340,chromium,13740,2046,15200,1084,0,12580,20
9468,code,12256,4858,33696,4056,0,8060,0
9469,Discord,9816,2879,9256,1172,0,8520,24
9626,bash,12,4,1656,4,0,8,0
9740,brave,20152,4250,16084,1320,0,18696,52
9943,code,11152,5042,319100,4344,0,6660,0
9967,chromium,79780,18807,20024,13656,0,65800,3912
10664,chromium,488828,419638,48796,412488,0,74836,4436
11381,chromium,238724,162406,119156,153792,0,83960,4176
12094,pet,24,20,1284,20,0,4,0
12230,bash,12,4,1656,4,0,8,0
12278,code,20868,12322,337924,11188,0,9500,0
21998,bash,12,4,1548,4,0,8,0
22836,bash,3852,1383,760,1044,0,2808,0
128721,gamemoded,2996,1203,128,880,0,1980,0
212756,chrome,13020,1753,14936,916,0,12020,84
214280,chrome,64340,9266,29188,7004,0,55156,5280
225123,chrome,137852,45438,30444,29796,0,102384,6284
638683,gvfsd-network,532,524,1372,524,0,8,0
654005,brave,118468,54597,29112,32752,0,84248,3736
676246,brave,9720,2257,18664,4276,0,5412,3144
840477,chrome,91536,26977,36528,22668,0,66568,5404
852368,bash,3852,430,1516,40,0,3812,0
852432,bash,3424,312,352,16,0,3408,0
852443,jupyter-lab,59468,54729,165072,49820,0,5924,0
852670,chrome,251432,150464,30472,131872,0,112568,7272
852844,python,7200,3124,46328,2720,0,4480,0
852847,python,7240,3189,46284,2784,0,4456,0
852848,python,7232,3062,46668,2656,0,4576,0
853135,python,7708,3453,46388,2664,0,5044,0
853261,python,66836,62094,27100,58244,0,5560,0
866927,chromium,171188,76469,78264,59320,0,109640,4796
875007,chromium,51444,8165,18088,5560,0,45552,4040
877209,bash,3508,369,248,56,0,3448,0
877241,bash,3564,370,492,36,0,3528,0
877256,srt-logger,2476,245,208,84,0,2300,0
877441,steam,57964,45990,86164,20688,0,9536,8444
877487,srt-bwrap,1628,37,136,16,0,1608,0
877499,srt-logger,2336,103,272,32,0,2304,0
877634,steam-runtime-l,4180,1891,196,324,0,2356,0
877637,pv-adverb,2388,217,372,32,0,2208,0
877665,steamwebhelper,277512,197429,194976,39860,0,104544,7028
877668,steamwebhelper,9824,1787,11568,928,0,8896,0
877674,steamwebhelper,14552,2627,9940,2824,0,11728,2756
877675,steamwebhelper,15964,2053,8464,4204,0,11760,4196
877677,steamwebhelper,6516,1070,8552,4220,0,2296,4196
877714,steamwebhelper,154512,94975,147296,57848,0,74332,3140
877947,steamwebhelper,33764,15625,13908,8616,0,22464,448
877956,steamwebhelper,17444,3939,10960,5476,0,11740,4284
877973,steamwebhelper,345908,311457,204424,284728,0,47580,4752
879967,polybar,11084,2480,1808,1188,0,9864,0
879968,polybar,11056,2396,1636,1132,0,9892,0
879969,polybar,11092,2494,1808,1168,0,9884,0
880070,python3,11004,7954,0,5836,0,3564,0
880071,i3-msg,2412,257,0,188,0,2204,0
880706,reaper,3444,956,9528,200,0,944,2048
880721,srt-bwrap,1748,157,28,140,0,1608,0
880781,pv-adverb,2284,492,56,372,0,1816,0
880805,dota.sh,5920,1039,12784,348,0,3304,2048
880810,dota2,3461120,3424089,180772,3227568,0,50036,5064
880998,steamwebhelper,91684,62832,22156,52024,0,37836,4596
881090,gameoverlayui,26608,17782,12940,9688,0,8660,5032
883525,chrome,66592,11582,20632,9508,0,54692,5424
885218,chrome,254404,165696,20612,155584,0,95488,5464
