pid,comm,rss_kb,pss_kb,swap_kb,anon_kb,file_kb,shared_clean_kb,shared_dirty_kb
717,dbus-broker-lau,1068,453,180,180,0,716,0
719,dbus-broker,1948,775,264,704,0,1244,0
721,pipewire,11432,9047,18536,8008,0,2800,264
722,wireplumber,9816,6793,11604,6072,0,3280,0
723,bash,12,4,1580,4,0,8,0
724,pipewire-pulse,48260,44999,24012,43628,0,3780,360
788,xdg-permission-,264,256,228,256,0,8,0
811,startx,12,4,348,4,0,8,0
831,xinit,12,4,220,4,0,8,0
832,Xorg,74824,70659,81408,68280,0,4304,608
849,i3,40864,36370,6568,9348,0,5076,0
855,nm-applet,9208,7076,11240,6940,0,2260,4
857,dunst,6672,4975,8268,4844,0,1724,40
858,terminator,45604,34454,21268,25552,0,14332,8
859,chromium,171328,134038,122908,112884,0,46684,688
860,pavucontrol,51292,38772,25372,34728,0,16480,4
861,thunar,16080,9561,12740,8480,0,7200,228
863,chrome,250592,174568,162736,123168,0,85228,3408
864,brave,149704,100233,92012,74876,0,59692,496
865,lxtask,16168,8667,8956,7220,0,8844,4
866,corectrl,58508,54739,21184,50484,0,5008,0
867,gnome-system-mo,106540,67605,22028,48784,0,53784,12
868,bash,12,4,528,4,0,8,0
869,Discord,71668,49948,66620,38620,0,31504,200
890,cat,12,4,104,4,0,8,0
891,cat,16,8,100,8,0,8,0
905,gvfsd,272,264,1496,264,0,8,0
918,srt-logger,720,145,244,52,0,580,0
922,gvfsd-fuse,1644,395,496,244,0,1352,0
983,chrome_crashpad,120,112,260,112,0,8,0
1003,chrome_crashpad,12,4,332,4,0,8,0
1041,xdg-desktop-por,5044,1908,1980,1644,0,3328,4
1074,chromium,644,322,15844,636,0,8,628
1076,chromium,3816,237,12584,3808,0,8,3804
1084,xdg-document-po,3764,628,348,404,0,3332,0
1085,Discord,720,356,8380,712,0,8,712
1086,Discord,12,2,8992,4,0,8,4
1105,at-spi-bus-laun,276,264,500,264,0,8,4
1106,xdg-desktop-por,11524,8898,5820,8716,0,2752,44
1114,dbus-broker-lau,16,8,280,8,0,8,0
1115,dbus-broker,1040,155,156,88,0,952,0
1116,chrome_crashpad,748,358,252,116,0,392,0
1121,at-spi2-registr,2144,306,520,204,0,1920,0
1144,Discord,8,2,9016,4,0,4,4
1154,chrome_crashpad,12,4,328,4,0,8,0
1165,chromium,3868,289,12632,3864,0,4,3812
1211,chrome,716,424,15376,708,0,8,568
1212,gvfs-udisks2-vo,5108,1615,1548,860,0,3800,4
1216,chrome,3140,130,12860,3132,0,8,3128
1235,chrome_crashpad,660,270,268,104,0,392,0
1258,gvfsd-metadata,3652,787,276,500,0,3080,0
1260,chrome_crashpad,12,4,328,4,0,8,0
1306,chrome,6628,501,12696,3396,0,3232,3204
1423,brave,816,408,14308,808,0,8,800
1424,brave,3300,312,11732,3292,0,8,3288
1464,gvfs-mtp-volume,3288,524,356,364,0,2896,0
1478,brave,6528,980,11568,3556,0,2896,3288
1490,gvfsd-trash,448,440,1588,440,0,8,0
1504,dconf-service,3564,537,204,336,0,3184,0
2580,bash,12,4,1556,4,0,8,0
2699,code,68024,40350,70988,29692,0,35036,192
3378,code,456,224,8716,448,0,8,448
3402,code,1072,266,8008,1064,0,8,1064
3841,code,1068,266,8120,1064,0,4,1064
4092,chromium,70568,47091,112412,36984,0,26768,1048
4418,chromium,60548,41781,18772,33780,0,21960,436
5047,chrome,126792,57426,110868,36144,0,82444,2004
5179,chrome,69436,25693,18640,17976,0,47692,796
5183,chrome_crashpad,672,222,236,116,0,456,0
